price_id,component_type,vendor,category,model,capacity_gb,price_eur,price_type,market,currency,source,observed_at,valid_until,notes
"cpu|amd|[ COOLPC - Gamer Extreme COOLPC Gamer XIII Core - Ryzen 7 5700X / Radeon RX 9070 GRE 12Gb / 32Gb DDR4 / NVMe 1Tb / W11 1.849,50 € 1.499||",cpu,amd,Ryzen 7,"[ COOLPC - Gamer Extreme COOLPC Gamer XIII Core - Ryzen 7 5700X / Radeon RX 9070 GRE 12Gb / 32Gb DDR4 / NVMe 1Tb / W11 1.849,50 € 1.499",,95.00,observed,Spain,EUR,Coolmod,2026-08-15,,monthly automated observation; source_id=ES-COOLMOD
cpu|amd|[ Procesadores Procesador AMD Ryzen 7 5800X3D 4.5GHz Socket AM4 Boxed 10th Aniversary 358||,cpu,amd,Ryzen 7,[ Procesadores Procesador AMD Ryzen 7 5800X3D 4.5GHz Socket AM4 Boxed 10th Aniversary 358,,95.00,observed,Spain,EUR,Coolmod,2026-08-15,,monthly automated observation; source_id=ES-COOLMOD
"cpu|amd|AMD Ryzen 9 9950X3D (4,3 GHz / 5,7 GHz)||",cpu,amd,Ryzen 9,"AMD Ryzen 9 9950X3D (4,3 GHz / 5,7 GHz)",,758.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
cpu|intel|Intel Core i3-12100 3.3 GHz||,cpu,intel,Core i3,Intel Core i3-12100 3.3 GHz,,173.27,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
"cpu|intel|Intel Core i3-12100F (3,3 GHz / 4,3 GHz)||",cpu,intel,Core i3,"Intel Core i3-12100F (3,3 GHz / 4,3 GHz)",,87.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
cpu|intel|Intel Core i3-12100F 3.3 GHz||,cpu,intel,Core i3,Intel Core i3-12100F 3.3 GHz,,119.75,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i3-14100F 3.5/4.7GHz Box||,cpu,intel,Core i3,Intel Core i3-14100F 3.5/4.7GHz Box,,108.00,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Procesador Intel Core i3-14100 4 Núcleos 3.5 GHz Frecuencia Base 4.7 GHz Turbo Gráficos UHD 730||,cpu,intel,Core i3,Procesador Intel Core i3-14100 4 Núcleos 3.5 GHz Frecuencia Base 4.7 GHz Turbo Gráficos UHD 730,,144.93,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-10400 2.90 GHz||,cpu,intel,Core i5,Intel Core i5-10400 2.90 GHz,,171.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-12400 2.5 GHz||,cpu,intel,Core i5,Intel Core i5-12400 2.5 GHz,,227.96,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-12400F 2.5 GHz||,cpu,intel,Core i5,Intel Core i5-12400F 2.5 GHz,,155.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-12600K 3.7 GHz||,cpu,intel,Core i5,Intel Core i5-12600K 3.7 GHz,,244.52,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-12600KF 3.7 GHz||,cpu,intel,Core i5,Intel Core i5-12600KF 3.7 GHz,,202.74,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-13600KF 3.5 GHz Box||,cpu,intel,Core i5,Intel Core i5-13600KF 3.5 GHz Box,,376.52,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-14400 2.5/4.7GHz Box||,cpu,intel,Core i5,Intel Core i5-14400 2.5/4.7GHz Box,,207.95,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-14400F 2.5/4.7GHz Box||,cpu,intel,Core i5,Intel Core i5-14400F 2.5/4.7GHz Box,,186.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
"cpu|intel|Intel Core i5-14600K (3,5 GHz / 5,3 GHz)||",cpu,intel,Core i5,"Intel Core i5-14600K (3,5 GHz / 5,3 GHz)",,281.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
cpu|intel|Intel Core i5-14600K 3.5/5.4GHz Box||,cpu,intel,Core i5,Intel Core i5-14600K 3.5/5.4GHz Box,,287.90,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i5-14600KF (3.5 GHz / 5.3 GHz) - Versión tray||,cpu,intel,Core i5,Intel Core i5-14600KF (3.5 GHz / 5.3 GHz) - Versión tray,,261.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
cpu|intel|Intel Core i5-14600KF 3.5/5.4GHz Box||,cpu,intel,Core i5,Intel Core i5-14600KF 3.5/5.4GHz Box,,250.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Procesador - INTEL Intel - Core i5-14400 procesador 20 MB Smart Cache Caja||,cpu,intel,Core i5,Procesador - INTEL Intel - Core i5-14400 procesador 20 MB Smart Cache Caja,,215.84,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
cpu|intel|Intel Core i7-12700 2.1 GHz||,cpu,intel,Core i7,Intel Core i7-12700 2.1 GHz,,332.96,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-12700F 2.1 GHz||,cpu,intel,Core i7,Intel Core i7-12700F 2.1 GHz,,230.91,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-12700K 3.6 GHz||,cpu,intel,Core i7,Intel Core i7-12700K 3.6 GHz,,372.77,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-12700KF 3.6 GHz||,cpu,intel,Core i7,Intel Core i7-12700KF 3.6 GHz,,321.51,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-13700K 3.4 GHz Box||,cpu,intel,Core i7,Intel Core i7-13700K 3.4 GHz Box,,384.25,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-13700KF 3.4 GHz Box||,cpu,intel,Core i7,Intel Core i7-13700KF 3.4 GHz Box,,346.04,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-14700 2.1/5.4GHz Box||,cpu,intel,Core i7,Intel Core i7-14700 2.1/5.4GHz Box,,387.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-14700F 2.1/5.4GHz Box||,cpu,intel,Core i7,Intel Core i7-14700F 2.1/5.4GHz Box,,333.80,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-14700K 3.4/5.6GHz Box||,cpu,intel,Core i7,Intel Core i7-14700K 3.4/5.6GHz Box,,420.04,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i7-14700KF 3.4/5.6GHz Box||,cpu,intel,Core i7,Intel Core i7-14700KF 3.4/5.6GHz Box,,393.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Procesador Intel Core i7-14700F 20 Núcleos 2.1 GHz Frecuencia Base 5.4 GHz Frecuencia Turbo Sin Gráficos Integrados||,cpu,intel,Core i7,Procesador Intel Core i7-14700F 20 Núcleos 2.1 GHz Frecuencia Base 5.4 GHz Frecuencia Turbo Sin Gráficos Integrados,,435.65,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i9-12900KF 3.2 GHz||,cpu,intel,Core i9,Intel Core i9-12900KF 3.2 GHz,,335.94,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i9-14900 2.1/5.8 GHz Box||,cpu,intel,Core i9,Intel Core i9-14900 2.1/5.8 GHz Box,,613.86,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
cpu|intel|Intel Core i9-14900KF||,cpu,intel,Core i9,Intel Core i9-14900KF,,510.10,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
cpu|intel|Procesador Intel Core i9-14900KF 24 Núcleos 3.2 GHz Frecuencia Base 6 GHz Turbo Sin Gráficos Integrados||,cpu,intel,Core i9,Procesador Intel Core i9-14900KF 24 Núcleos 3.2 GHz Frecuencia Base 6 GHz Turbo Sin Gráficos Integrados,,452.55,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
gpu|nvidia|ASUS DUAL GeForce RTX 3050 OC O6G||,gpu,nvidia,RTX 3050,ASUS DUAL GeForce RTX 3050 OC O6G,,234.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
"gpu|nvidia|Tarjeta gráfica - GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G, GDDR6, PCI Express 4.0||",gpu,nvidia,RTX 3050,"Tarjeta gráfica - GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G, GDDR6, PCI Express 4.0",,335.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
"gpu|nvidia|Tarjeta gráfica - MSI GeForce RTX 3050 LP E 6G OC, GDDR6, PCI Express 4.0 x8||",gpu,nvidia,RTX 3050,"Tarjeta gráfica - MSI GeForce RTX 3050 LP E 6G OC, GDDR6, PCI Express 4.0 x8",,359.49,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
gpu|nvidia|Gainward GeForce RTX 3060 Python II OC||,gpu,nvidia,RTX 3060,Gainward GeForce RTX 3060 Python II OC,,431.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
"gpu|nvidia|Tarjeta gráfica - GIGABYTE GeForce RTX 3070 VISION OC 8G (rev. 2.0), GDDR6, HDMI||",gpu,nvidia,RTX 3070,"Tarjeta gráfica - GIGABYTE GeForce RTX 3070 VISION OC 8G (rev. 2.0), GDDR6, HDMI",,1381.72,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
gpu|nvidia|ASUS Dual GeForce RTX 5050 8GB||,gpu,nvidia,RTX 5050,ASUS Dual GeForce RTX 5050 8GB,,326.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|Gigabyte GeForce RTX 5050 WINDFORCE OC 8G||,gpu,nvidia,RTX 5050,Gigabyte GeForce RTX 5050 WINDFORCE OC 8G,,306.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|ASUS Dual GeForce RTX 5060 OC Edition 8GB||,gpu,nvidia,RTX 5060,ASUS Dual GeForce RTX 5060 OC Edition 8GB,,470.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|ASUS PRIME GeForce RTX 5060 OC Edition 8GB||,gpu,nvidia,RTX 5060,ASUS PRIME GeForce RTX 5060 OC Edition 8GB,,498.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|MSI GeForce RTX 5060 8G VENTUS 2X OC||,gpu,nvidia,RTX 5060,MSI GeForce RTX 5060 8G VENTUS 2X OC,,470.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|ASUS Dual GeForce RTX 5060 Ti OC Edition 16GB||,gpu,nvidia,RTX 5060 TI,ASUS Dual GeForce RTX 5060 Ti OC Edition 16GB,,786.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|ASUS Dual GeForce RTX 5060 Ti OC Edition 8GB||,gpu,nvidia,RTX 5060 TI,ASUS Dual GeForce RTX 5060 Ti OC Edition 8GB,,546.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
"gpu|nvidia|Tarjeta gráfica - ZOTAC TARJETA GRÁFICA ZOTAC RTX 5060TI 16GB TWIN EDGE OC GDDR7, GDDR7, PCI Express x8 5.0||",gpu,nvidia,RTX 5060TI,"Tarjeta gráfica - ZOTAC TARJETA GRÁFICA ZOTAC RTX 5060TI 16GB TWIN EDGE OC GDDR7, GDDR7, PCI Express x8 5.0",,849.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
gpu|nvidia|ASUS Dual GeForce RTX 5070 12GB GDDR7 OC Edition||,gpu,nvidia,RTX 5070,ASUS Dual GeForce RTX 5070 12GB GDDR7 OC Edition,,806.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|ASUS PRIME GeForce RTX 5070 12GB GDDR7 OC Edition||,gpu,nvidia,RTX 5070,ASUS PRIME GeForce RTX 5070 12GB GDDR7 OC Edition,,815.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|Gigabyte GeForce RTX 5070 EAGLE OC SFF 12G||,gpu,nvidia,RTX 5070,Gigabyte GeForce RTX 5070 EAGLE OC SFF 12G,,671.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|Gigabyte GeForce RTX 5070 GAMING OC 12G||,gpu,nvidia,RTX 5070,Gigabyte GeForce RTX 5070 GAMING OC 12G,,690.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|ASUS PRIME GeForce RTX 5070 Ti 16GB GDDR7 OC Edition||,gpu,nvidia,RTX 5070 TI,ASUS PRIME GeForce RTX 5070 Ti 16GB GDDR7 OC Edition,,286.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
gpu|nvidia|GeForce RTX 5070 Ti VENTUS 3X OC 16GB GDDR7 Reflex 2 RTX AI DLSS4 1.||16,gpu,nvidia,RTX 5070 TI,GeForce RTX 5070 Ti VENTUS 3X OC 16GB GDDR7 Reflex 2 RTX AI DLSS4 1.,,269.99,observed,Spain,EUR,PcComponentes,2026-08-15,,monthly automated retail observation; direct page or Jina Reader fallback
gpu|nvidia|Gigabyte GeForce RTX 5070 Ti WINDFORCE OC SFF 16G||,gpu,nvidia,RTX 5070 TI,Gigabyte GeForce RTX 5070 Ti WINDFORCE OC SFF 16G,,276.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
"gpu|nvidia|Tarjeta gráfica - ASUS TUF Gaming GeForce RTX 5080 16GB GDDR7 OC Edition, GDDR7, PCI Express x16 4.0||",gpu,nvidia,RTX 5080,"Tarjeta gráfica - ASUS TUF Gaming GeForce RTX 5080 16GB GDDR7 OC Edition, GDDR7, PCI Express x16 4.0",,2253.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
"gpu|nvidia|[ Portátiles Portátil Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16"" W11P 3.||",gpu,nvidia,RTX 5080,"[ Portátiles Portátil Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16"" W11P 3.",,499.95,observed,Spain,EUR,Coolmod,2026-08-15,,monthly automated observation; source_id=ES-COOLMOD
"gpu|nvidia|[ Portátiles Portátil Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16"" W11P 3.499,95 € 2.479||",gpu,nvidia,RTX 5080,"[ Portátiles Portátil Gigabyte AORUS Master 16 BYHC5ESE64SP U9-275HX RTX 5080 32GB 1TB 16"" W11P 3.499,95 € 2.479",,95.00,observed,Spain,EUR,Coolmod,2026-08-15,,monthly automated observation; source_id=ES-COOLMOD
ram|memory|Corsair Vengeance RGB RS 32 GB (2 x 16 GB) DDR4 3200 MHz CL16|32|,ram,memory,DDR4,Corsair Vengeance RGB RS 32 GB (2 x 16 GB) DDR4 3200 MHz CL16,32,305.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|Fox Spirit Akura RGB 32 GB (2x 16 GB) DDR4 3200 MHz CL16|32|,ram,memory,DDR4,Fox Spirit Akura RGB 32 GB (2x 16 GB) DDR4 3200 MHz CL16,32,287.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|G.Skill RipJaws Serie 5 Negro 16GB (1 x 16GB) DDR4 3200 MHz CL16|16|,ram,memory,DDR4,G.Skill RipJaws Serie 5 Negro 16GB (1 x 16GB) DDR4 3200 MHz CL16,16,104.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|G.Skill RipJaws Series SO-DIMM 16 GB (2 x 8 GB) DDR4 3200 MHz CL22|16|,ram,memory,DDR4,G.Skill RipJaws Series SO-DIMM 16 GB (2 x 8 GB) DDR4 3200 MHz CL22,16,100.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|Kingston FURY Beast 16 GB (2 x 8 GB) DDR4 3200 MHz CL16|16|,ram,memory,DDR4,Kingston FURY Beast 16 GB (2 x 8 GB) DDR4 3200 MHz CL16,16,172.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|Kingston FURY Beast 32GB (2 x 16GB) DDR4 3200 MHz CL16|32|,ram,memory,DDR4,Kingston FURY Beast 32GB (2 x 16GB) DDR4 3200 MHz CL16,32,412.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR4 3600 MHz CL18|32|,ram,memory,DDR4,Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR4 3600 MHz CL18,32,575.00,observed,Spain,EUR,LDLC España,2026-08-15,,monthly automated observation; source_id=EU-LDLC
ram|memory|Memoria RAM - AFOX DDR4 1 x 4GB 3200MHz UDIMM PC AFLD44PK1P|4|,ram,memory,DDR4,Memoria RAM - AFOX DDR4 1 x 4GB 3200MHz UDIMM PC AFLD44PK1P,4,34.29,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memoria RAM - CORSAIR CMK8GX5M1B5200C40|16|,ram,memory,DDR4,Memoria RAM - CORSAIR CMK8GX5M1B5200C40,16,173.89,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memoria RAM - DELL SNPTN78YC/32G|32|,ram,memory,DDR4,Memoria RAM - DELL SNPTN78YC/32G,32,249.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memoria RAM - KINGSTON TECHNOLOGY KTL-TS432E/32G|32|,ram,memory,DDR4,Memoria RAM - KINGSTON TECHNOLOGY KTL-TS432E/32G,32,249.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memoria RAM - MICRON MTA16ATF4G64HZ-3G2|32|,ram,memory,DDR4,Memoria RAM - MICRON MTA16ATF4G64HZ-3G2,32,169.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memoria RAM - QNAP QNAP RAM-16GDR4ECT0-RD-2400 módulo de memoria 16 GB 1 x 16 GB DDR4 2400 MHz ECC|16|,ram,memory,DDR4,Memoria RAM - QNAP QNAP RAM-16GDR4ECT0-RD-2400 módulo de memoria 16 GB 1 x 16 GB DDR4 2400 MHz ECC,16,3420.96,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memoria RAM - SILICON POWER DDR4 8GB PC 3200 CL16 Silicon-Power (1x8GB) Pulse/U-DIMM Módulos de memoria multimedia|8|,ram,memory,DDR4,Memoria RAM - SILICON POWER DDR4 8GB PC 3200 CL16 Silicon-Power (1x8GB) Pulse/U-DIMM Módulos de memoria multimedia,8,78.00,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
ram|memory|Memorias RAM - SILICON POWER ddr4 32gb 2x 16gb silicon power udimm 3200mhz|32|,ram,memory,DDR4,Memorias RAM - SILICON POWER ddr4 32gb 2x 16gb silicon power udimm 3200mhz,32,313.80,observed,Spain,EUR,MediaMarkt España,2026-08-15,,monthly automated observation; source_id=ES-MEDIAMARKT
