rank,model_id,model_name,variant,quantization,runtime,hardware_id,workload,estimated_memory_gb,weight_memory_gb,context_tokens,context_target_tokens,tokens_per_second,quality_score,jgb_level,jgb_confidence,fit_score,confidence,cpu_price_eur,cpu_price_source,ram_price_eur,ram_price_source,gpu_price_eur,gpu_price_source,hardware_price_eur,price_coverage,value_score,reason,cabe,cabe_status,rula,rula_status,jgb_status,performance_score,economic_score,uncertainty,parameters_total_b,parameters_active_b,kv_cache_gb,runtime_overhead_gb,memory_margin_gb,runtime_version,backend,context_length,evidence_state,evidence_type,source_url,last_verified_at
1,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,,,transformers,,,0.07,0.07,,,,,,,0.2999,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047623,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
2,BonTori/phobert_llm_results,BonTori/phobert_llm_results,,,transformers,,,0.14,0.14,,,,,,,0.2998,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047610,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
3,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt17,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt17,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
4,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt16,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt16,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
5,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt15,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt15,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
6,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt14,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt14,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
7,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt13,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt7,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt7,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
14,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt6,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt6,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
15,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt5,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt5,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.047210,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
16,inference-optimization/DeepSeek-R1-Distill-Llama-8B-NVFP4,inference-optimization/DeepSeek-R1-Distill-Llama-8B-NVFP4,,,transformers,,,4.54,4.54,,,,,,,0.2947,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.046792,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
17,Ironwood-LLM-Team/Firehouse-Cactus-1.01,Ironwood-LLM-Team/Firehouse-Cactus-1.01,,,transformers,,,7.94,7.94,,,,,,,0.2907,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.046159,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
18,Ironwood-LLM-Team/Firehouse-Cactus-1.0,Ironwood-LLM-Team/Firehouse-Cactus-1.0,,,transformers,,,7.94,7.94,,,,,,,0.2907,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.046159,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
19,super-inference/super-12B-it-ste,super-inference/super-12B-it-ste,,,transformers,,,11.96,11.96,,,,,,,0.2860,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.045411,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
20,pinkelephantlimited/pinkelephant-llm-48b-s,pinkelephantlimited/pinkelephant-llm-48b-s,,,transformers,,,47.69,47.69,,,,,,,0.2441,low,372.77,PcComponentes,257.00,Amazon España;LDLC España,,,629.77,2/3,0.038762,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
