rank,model_id,model_name,variant,quantization,runtime,hardware_id,workload,estimated_memory_gb,context_tokens,tokens_per_second,quality_score,jgb_level,jgb_confidence,fit_score,confidence,reason
1,,sharksurfauto-byte/ARES-v2,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
2,,kdu0309/super-llm-v3,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
3,,chaowenguo/llm,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
4,,forge.fedoraproject.org,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
5,,joadyimel/hermes-voice-ai,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
6,,Aelian/AI-Brain,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
7,,fireside25-a-brep/-deterministic-lead-processor,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
8,,Login,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
9,,cgit,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown
