rank,model_id,model_name,variant,quantization,runtime,hardware_id,workload,estimated_memory_gb,weight_memory_gb,context_tokens,context_target_tokens,tokens_per_second,quality_score,jgb_level,jgb_confidence,fit_score,confidence,cpu_price_eur,cpu_price_source,ram_price_eur,ram_price_source,gpu_price_eur,gpu_price_source,hardware_price_eur,price_coverage,value_score,reason,cabe,cabe_status,rula,rula_status,jgb_status,performance_score,economic_score,uncertainty,parameters_total_b,parameters_active_b,kv_cache_gb,runtime_overhead_gb,memory_margin_gb,runtime_version,backend,context_length,evidence_state,evidence_type,source_url,last_verified_at
1,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,,,transformers,,,0.07,0.07,,,,,,,0.2999,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.043000,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
2,inference-optimization/Qwen3-VL-Reranker-0.1B-tiny,inference-optimization/Qwen3-VL-Reranker-0.1B-tiny,,,transformers,,,0.1,0.1,,,,,,,0.2999,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042995,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
3,inference-optimization/granite-vision-4.1-0.2B-tiny,inference-optimization/granite-vision-4.1-0.2B-tiny,,,transformers,,,0.16,0.16,,,,,,,0.2998,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042985,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
4,inference-optimization/Qwen3.8-1.0B-A0.6B-NVFP4-FP8,inference-optimization/Qwen3.8-1.0B-A0.6B-NVFP4-FP8,,fp8,transformers,,,0.97,0.97,,,,,,,0.2989,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042849,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
5,inference-optimization/Qwen3.8-1.0B-A0.6B,inference-optimization/Qwen3.8-1.0B-A0.6B,,,transformers,,,0.97,0.97,,,,,,,0.2989,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042849,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
6,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
7,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
10,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
11,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt7,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt7,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
12,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt6,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt6,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
13,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt5,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt5,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
14,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt4,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt4,,,transformers,,,2.29,2.29,,,,,,,0.2973,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042627,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
15,mangocloud/gr00t-n1.7-libero-90-k4-llm-vector-8,mangocloud/gr00t-n1.7-libero-90-k4-llm-vector-8,,,transformers,,,3.16,3.16,,,,,,,0.2963,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042481,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
16,inference-optimization/DeepSeek-R1-Distill-Llama-8B-NVFP4,inference-optimization/DeepSeek-R1-Distill-Llama-8B-NVFP4,,,transformers,,,4.54,4.54,,,,,,,0.2947,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.042249,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
17,super-inference/super-12B-it-ste,super-inference/super-12B-it-ste,,,transformers,,,11.96,11.96,,,,,,,0.2860,low,440.48,Amazon España;MediaMarkt España;PcComponentes,257.00,Amazon España;LDLC España,,,697.48,2/3,0.041003,"technical viability T2 supported by observed weight size; context supported=unknown, recommendation is preliminary; quality evidence=unknown; performance evidence=unknown; JGB=unknown; hardware price coverage=2/3",,unknown,,unknown,unknown,,,,,,,,,,,,unknown,unknown,,
