rank,model_id,model_name,variant,quantization,runtime,hardware_id,workload,estimated_memory_gb,context_tokens,tokens_per_second,quality_score,jgb_level,jgb_confidence,fit_score,confidence,reason,cabe,cabe_status,rula,rula_status,jgb_status,performance_score,economic_score,uncertainty,parameters_total_b,parameters_active_b,weight_memory_gb,kv_cache_gb,runtime_overhead_gb,memory_margin_gb,runtime_version,backend,context_length,evidence_state,evidence_type,source_url,last_verified_at
1,,sharksurfauto-byte/ARES-v2,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
2,,kdu0309/super-llm-v3,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
3,,chaowenguo/llm,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
4,,forge.fedoraproject.org,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
5,,joadyimel/hermes-voice-ai,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
6,,Aelian/AI-Brain,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
7,,fireside25-a-brep/-deterministic-lead-processor,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
8,,Login,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
9,,cgit,,,,,,,,,,,,0.1500,low,viable under supplied hardware/workload constraints; quality evidence=unknown; performance evidence=unknown; JGB=unknown,false,estimated,,unknown,unknown,,,,,,,,,,,,,reported,unknown,,
