entity_type,entity_id,flag_type,severity,field_name,message,detected_at,resolved_at,resolution
model,huggingface/transformers,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,ggml-org/llama.cpp,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,rammsguns/llm-rig,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,townsendmerino/goinfer,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,local-inference-lab/blackwell-llm-docker,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,arshad1416/HA_Automation_Pi,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,ishpatel/llm-bench-lab,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,vllm-project/semantic-router,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,lablup/mlxcel,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,priceisaacuwjh3036/ai-server-rust-llm-api,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,benlmadan9-star/eco-mesh-sdk,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Bahaa-Labs/Llama_Pure_Compute,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Scottcjn/ram-coffers,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Daaboulex/lmstudio-nix,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,prabodh1194/learn-inference,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,NVIDIA/TensorRT-LLM,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,llm-d/llm-d,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,gittensor-ai-lab/sparkinfer,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,tryAGI/HuggingFace,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,NVIDIA/Model-Optimizer,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,wisent-ai/brama,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,okuvshynov/llama-sandbox,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,rafaeljung71/ash4d-local-ai-agent-hub,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,nirholas/three.ws,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,kdu0309/super-llm-v3,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,mlboydaisuke/Youtu-LLM-2B-CoreAI,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,seoan1024/korean-llm-v2,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,mradermacher/Marco-LLM-AR-V2-i1-GGUF,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,LLM-BC/llmbc-checkpoints,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,krzysztofsliwka/missing-information-control-llm-pilot,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,mangocloud/gr00t-n1.7-libero-90-k4-llm-vector-8,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,DraSlayer/personal-llm-phase12-9b,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v1-base,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v1-sft,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v1-grpo,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v2-base,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v2-sft,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v2-grpo,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v3-base,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v3-sft,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,JohnEnev/modern-llm-v3-grpo,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,dikibulin/llm,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,truongsmart/LLM_ADCreator_request_to_json,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,naiguitarfolk/rnai-llm-v4.1-gguf,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt12,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt11,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,super-inference/super-12B-ste-coding,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/DeepSeek-R1-Distill-Llama-8B-NVFP4,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v9-ckpt10,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inferencerlabs/Qwen3.8-27B-MTP-MLX-Q4,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inferencerlabs/Qwen3.8-27B-MLX-Q9,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,super-inference/super-12B-it-ste,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,lshar/ARM-TUNE-CPU-INFERENCE-OPT,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt9,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt8,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt7,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt6,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt5,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3.8-1.0B-A0.6B-NVFP4-FP8,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inferencerlabs/Muse-Glimmer-30B-MLX-Q9,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-8B-speculator.dflash.swa.dpace.fullvocab.muon.2048anc.combdatav3-q235b-instr-v8-ckpt4,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3.8-1.0B-A0.6B,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/Qwen3-VL-Reranker-0.1B-tiny,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,inference-optimization/granite-vision-4.1-0.2B-tiny,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Mitigating Gender Bias in English to Romanian Machine Translation,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Hybrid-Policy Self-Editing for Composable Unstructured Knowledge Editing,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Knowing When to Quit: Diagnosing and Training LLMs to Abort Futile Reasoning,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,An AI4AI Framework for Visual Token Pruning,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,"LLMRouter: Unified Infrastructure for Developing, Evaluating, and Deploying LLM Routers",unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,DarwinX: Evolving Agent Harnesses Through Natural Selection,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Massive Activations in Hybrid Linear Attention Large Language Models: Pre-Attention Spikes and Inter-Spike Plateaus,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,LycheeMemory V2: Efficient Long-Term Memory for LLM Agents via Semantic Segment-Level Consolidation,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,How Can Rhetoric Reward-Hack AI Reviewers? Dissecting Rhetorical Sensitivity in AI-Based Peer Review,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,ReRound: Reconstructive Rounding to Resolve Midpoint Ambiguity in Calibration-Free LLM Quantization,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Parameter Exploration for RLVR via Variational Learning,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Ready Cohorts: Bounding GPU Opportunity and Avoiding Host Round Trips in LLM-Agent Control,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Poor Man's Agentic Modeling: Simulating Large LLM-Agent Societies on a Laptop,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Can LLM Agents Stick to the Script? A Benchmark for Long-Horizon Consistency in Interactive Narratives,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,NeuPAT: Neuron-aware Plasticity Allocation Tuning for Language-Preserving MLLMs,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,MBA: Multimodal Benchmark and Agents for Real-World Business Ideation,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Agent Safety Should Be a Runtime Contract,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,ToolHazard: Scaling Adversarial Environments for Security Evaluation and Alignment of LLM-based Agents,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,SKILLER: Language-Level Reinforcement Learning for Reusable Skill Extraction in Small Language Models,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,UniSwap: Streaming Audio-Visual Identity Swapping for Talking Videos,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Spatial Memory Agent: Experience-Grounded Procedure Memory for Spatial Intelligence,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Learning How the World Evolves: Extrapolative Video World Models via Latent Dynamics Reasoning,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,AI4AI at Test-Time: Strong-to-Weak Capability Transfer via Harnesses,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,From Synthesis to Removal: Physics-Grounded Reflection Simulation and Diffusion-Based Video Dereflection,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,InSight-doc: Agentic Visual Perception for Long-Document Understanding,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,"Power law graph attention: exact generalization of scaled dot-product attention, empirical collapse at inference",unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,UniMoMo: Expert Merging-Based MoE Acceleration for Large Recommendation Models,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,chaowenguo/llm,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,dapa/oc-mlops-projet-3-docker,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,dapa/oc_mlops_projet_3,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,thomas.jardinet/lightweight-llm-stack,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,nils/reinstallme,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,dajbelshaw/plex-playlist,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,gdevops/ia/llms,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,gdevops/ia/openllm-france,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,Isilin/lm-webui,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
